SubjectID,n_total_events,n_compile_errors,n_run_events,compile_error_rate,compile_success_rate,avg_score,max_score,early_avg_score,late_avg_score,score_improvement,score_trend_per_hour,session_count,activity_span_hours,unique_problems,n_early_problems,avg_attempts_early,max_attempts_early,correct_eventually_rate,at_risk_rate_early,FinalGrade,at_risk,grade_group
00c54f9462673d4c09d2a88121860841,146,36,55,0.2466,0.6044,0.6596,1.0,0.6738,,,8e-05,5,692.03,30,,,,,,,0,
033ee034918011e4e34a7f97d464261f,107,19,44,0.1776,0.6984,0.4633,1.0,0.4633,,,0.000366,4,288.47,12,,,,,,0.0,1,At-Risk
036ad3e516c5bf3a4b3be35b137bcbb8,1498,482,508,0.3218,0.5131,0.3244,1.0,0.2533,0.4284,0.175,0.000148,17,1567.24,50,30.0,10.8,30.0,,,0.772,0,Good
04c32d4d95425f73b3a1d6502aed4d48,1246,388,429,0.3114,0.5251,0.3392,1.0,0.3588,0.4192,0.0604,4.8e-05,13,1637.16,50,30.0,10.566666666666666,45.0,,,0.706,0,Good
0503bf609757acf2e75aa8cbc0d8323b,248,78,85,0.3145,0.5215,0.5461,1.0,0.6061,0.462,-0.1442,-0.000156,5,1085.82,31,21.0,2.9047619047619047,11.0,,,0.7617,0,Good
0573589c2b18bae3fa72e2082e7fb2ae,1160,352,404,0.3034,0.5344,0.2831,1.0,0.3866,0.2646,-0.122,-0.000198,4,1132.11,30,,,,,,0.0,1,At-Risk
06d801cb636235b298c40029ad9921e7,698,312,193,0.447,0.3822,0.3683,1.0,0.3352,0.4545,0.1193,0.000129,6,1670.63,40,20.0,7.4,31.0,,,0.88,0,Excellent
07ae4cca3f90a49347ccb5c1a82ff46f,269,77,96,0.2862,0.5549,0.6361,1.0,0.4931,0.9091,0.416,0.000321,5,1681.71,50,30.0,2.433333333333333,21.0,,,0.84,0,Good
07d34e2419c61216a85a2156b2cf8ae4,399,107,146,0.2682,0.5771,0.4614,1.0,0.4737,0.4373,-0.0364,-4.2e-05,10,1722.25,50,30.0,2.6,12.0,,,0.5817,0,Passing
085d5d1e61effabc440d74ac51b91d87,410,74,168,0.1805,0.6942,0.4848,1.0,0.6942,0.4709,-0.2234,-0.000106,7,1677.34,50,30.0,3.1333333333333333,10.0,,,0.94,0,Excellent
088d6dc6ddb3113e9b902711ccdfafef,329,109,110,0.3313,0.5023,0.489,1.0,0.401,0.5149,0.1139,9.5e-05,6,1708.1,50,30.0,2.2333333333333334,27.0,,,0.29,1,At-Risk
08fcb5ead4e963a6f0bbdbc971f4a3ee,811,191,310,0.2355,0.6188,0.3205,1.0,0.3786,0.3307,-0.0478,-4.7e-05,27,1676.26,49,29.0,6.620689655172414,22.0,,,0.81,0,Good
0a7ff96e4fa7c92a13ccab013d580930,418,244,87,0.5837,0.2628,0.5871,1.0,0.518,0.6667,0.1486,0.000249,4,1128.7,40,30.0,2.4,13.0,,,0.34,1,At-Risk
0aaf61723a352ba7ea1be4502df85765,939,275,332,0.2929,0.547,0.3464,1.0,0.3882,0.3694,-0.0188,-3.3e-05,19,1735.38,50,30.0,8.633333333333333,40.0,,,0.6405,0,Passing
0ae12dc3676bc09a35fe6ed96926a6b5,233,27,103,0.1159,0.7923,0.6413,1.0,0.6301,0.6764,0.0463,1.7e-05,6,1686.29,50,30.0,2.1333333333333333,13.0,,,0.6944,0,Passing
0bbeaf0242180c8abffb2b8dada5a9e4,1020,266,377,0.2608,0.5863,0.314,1.0,0.4717,0.3005,-0.1713,-8e-05,7,1684.42,40,20.0,5.05,19.0,,,0.77,0,Good
0bdf2c1f053650715e1f0c725d754b96,639,139,250,0.2175,0.6427,0.3203,1.0,0.268,0.3554,0.0874,7.1e-05,7,1439.12,39,19.0,5.684210526315789,35.0,,,0.3917,1,At-Risk
0d8e7181cecfb125aee394596b658287,172,90,41,0.5233,0.313,0.2881,1.0,0.2881,,,0.221492,2,3.23,10,,,,,,,0,
0e2cb039638d9ab503d33105ed343d7e,1018,372,323,0.3654,0.4647,0.3127,1.0,0.3619,0.3406,-0.0213,1.7e-05,16,1604.4,50,30.0,6.266666666666667,33.0,,,0.8,0,Good
0ee7e71061cf860ccf3b29c6823c7971,624,208,208,0.3333,0.5,0.3301,1.0,0.5753,0.3868,-0.1885,-4e-06,4,1757.84,30,20.0,7.3,37.0,,,0.94,0,Excellent
115c51eb37365df2d4f4e2482b964822,178,76,51,0.427,0.4016,0.8058,1.0,0.7308,0.9091,0.1783,0.000115,4,1128.11,39,29.0,1.3793103448275863,7.0,,,0.66,0,Passing
11d8ffa1c1cb79e22b6d94667d3847d9,633,205,214,0.3239,0.5107,0.42,1.0,0.388,0.4517,0.0637,7.7e-05,12,1646.28,50,30.0,4.566666666666666,16.0,,,0.4703,1,At-Risk
1379719828be9ee6b08ca64edb818e2b,731,223,254,0.3051,0.5325,0.3826,1.0,0.434,0.3032,-0.1309,-0.000131,9,1124.31,32,22.0,8.545454545454545,41.0,,,0.4553,1,At-Risk
138a14eaf4a8c188a6c41cafd9400a30,193,31,81,0.1606,0.7232,0.6431,1.0,0.61,0.8333,0.2233,0.000133,5,1686.09,20,10.0,6.9,19.0,,,0.79,0,Good
13dfe127c6d40641c7ad9fd60ef8701d,533,253,140,0.4747,0.3562,0.4071,1.0,0.2949,0.5897,0.2948,0.000286,15,1750.6,50,30.0,3.4,32.0,,,0.44,1,At-Risk
14b094aef5d2df47fa9dd009b2d6ecb1,184,44,70,0.2391,0.614,0.7208,1.0,0.6091,1.0,0.3909,0.000288,4,1680.83,40,30.0,1.9666666666666666,9.0,,,0.71,0,Good
14e676072a5b15381b6f7f33c3528215,173,37,68,0.2139,0.6476,0.7688,1.0,0.7,0.8671,0.1671,0.000121,6,1670.36,50,30.0,1.4333333333333333,7.0,,,0.34,1,At-Risk
153541c160234d5f9029608e65329ad0,20,0,10,0.0,1.0,1.0,1.0,1.0,,,0.0,2,0.76,10,,,,,,,0,
1649f854581e9c03bc2c4e06023c5b99,336,114,111,0.3393,0.4933,0.4956,1.0,0.4863,0.691,0.2047,0.000138,5,1674.64,40,30.0,3.1333333333333333,11.0,,,0.606,0,Passing
164f545c22e17e5e9298b1c84b9e3e1e,630,138,246,0.219,0.6406,0.4091,1.0,0.4149,0.3868,-0.028,-6e-05,11,1702.58,47,30.0,5.2,41.0,,,0.6633,0,Passing
16a4d8f9442ec82c5d390079cad8f194,317,85,116,0.2681,0.5771,0.5266,1.0,0.7547,0.3691,-0.3856,-0.000282,7,1680.82,50,30.0,1.8,11.0,,,0.6559999999999999,0,Passing
17737832ac17be5216f187a82c20936e,644,92,276,0.1429,0.75,0.4029,1.0,0.4717,0.2521,-0.2196,-0.000208,11,1631.32,46,30.0,7.133333333333334,18.0,,,0.535,0,Passing
17e0ce48c87a8885fe8b82c21cb17ecf,331,91,120,0.2749,0.5687,0.4849,1.0,0.4419,0.63,0.1881,0.000208,9,1653.88,50,30.0,2.7666666666666666,18.0,,,0.5428999999999999,0,Passing
18091ec91aec4f3a9a5f2aa73c0a18ca,385,253,66,0.6571,0.2069,0.5234,1.0,0.443,,,0.000595,5,654.97,30,,,,,,,0,
183f50a7700982a3ed18ff6d7a5777bf,259,41,109,0.1583,0.7267,0.6269,1.0,0.4936,0.8724,0.3788,0.000312,6,1683.38,50,30.0,2.7666666666666666,16.0,,,0.71,0,Good
184264bf0c886f2ee3198ff54561c51d,713,171,271,0.2398,0.6131,0.4371,1.0,0.506,0.4052,-0.1009,-8.1e-05,17,1707.82,48,29.0,5.793103448275862,24.0,,,0.6767,0,Passing
18d3284f148b6cb726b412b7059223ff,835,161,337,0.1928,0.6767,0.3701,1.0,0.397,0.4039,0.0069,1.4e-05,25,1699.9,50,30.0,7.533333333333333,48.0,,,0.9,0,Excellent
194309a52da9de185b531cfc697cfca8,207,53,77,0.256,0.5923,0.4512,1.0,0.4297,0.5125,0.0828,7.5e-05,5,1184.55,26,16.0,3.5625,16.0,,,0.61,0,Passing
1aaa7438a59157a0f21ad30dda4d4088,261,71,95,0.272,0.5723,0.7074,1.0,0.5421,0.8768,0.3346,0.000237,6,1679.28,50,30.0,1.8666666666666667,9.0,,,0.5,0,Passing
1aabb3fa1280144bf946da37d00c05f1,400,98,151,0.245,0.6064,0.427,1.0,0.4046,0.5647,0.1601,0.000148,7,1679.47,40,27.0,4.518518518518518,18.0,,,0.3,1,At-Risk
1b6171ff276542bd344c1600aaca6165,111,25,43,0.2252,0.6324,0.5844,1.0,0.6071,,,-8e-05,3,670.87,21,,,,,,0.0,1,At-Risk
1c7836dbabd12c458d20e3b35633733a,598,128,235,0.214,0.6474,0.5701,1.0,0.5075,0.6719,0.1644,0.000153,11,1680.2,43,28.0,4.071428571428571,11.0,,,0.36,1,At-Risk
1cbd0a834ad09f5650b3536f90478f25,155,83,36,0.5355,0.3025,0.6315,1.0,0.4913,,,0.000544,4,671.7,20,,,,,,,0,
1cd45c346398d2ee6a71296e1fa88796,962,310,326,0.3222,0.5126,0.4062,1.0,0.4905,0.4316,-0.059,-3.7e-05,15,1472.52,40,20.0,6.3,17.0,,,0.4,1,At-Risk
1d4db1fbfe9d6377c9226ff1e48b90ce,412,84,164,0.2039,0.6613,0.5908,1.0,0.3628,0.8615,0.4987,0.000329,7,1679.06,47,27.0,3.7777777777777777,11.0,,,0.4757,1,At-Risk
1de5b30a72e738862b9f25c1131f2a98,406,112,147,0.2759,0.5676,0.3322,1.0,0.3322,,,0.00059,5,309.15,20,,,,,,,0,
1f30c0ce8636ff2c424549971dcab5d8,268,90,89,0.3358,0.4972,0.651,1.0,0.635,0.5779,-0.0571,4.8e-05,5,1687.92,50,30.0,1.6666666666666667,8.0,,,0.5943999999999999,0,Passing
2053816a7f21edb8c302ed31b0bafa1f,55,17,19,0.3091,0.5278,0.469,1.0,0.469,,,-0.306918,1,0.59,10,10.0,1.9,4.0,,,0.42,1,At-Risk
2225c699a36afb253a69074cad850b00,882,272,305,0.3084,0.5286,0.3793,1.0,0.5758,0.347,-0.2288,-0.000159,10,1603.97,45,30.0,5.933333333333334,34.0,,,0.7726999999999999,0,Good
222d97000e1b90c1ed0f97e5cd9c203d,282,86,98,0.305,0.5326,0.5553,1.0,0.6382,0.5476,-0.0906,-9e-06,5,1657.55,50,30.0,1.9666666666666666,8.0,,,0.46,1,At-Risk
2258803b6e4f1ef992229c3cef66d75d,720,178,271,0.2472,0.6036,0.3843,1.0,0.4257,0.3543,-0.0715,-6e-05,12,1688.94,50,30.0,5.533333333333333,18.0,,,0.94,0,Excellent
22cd4d66fc24fc0163ac00d27c1433c5,227,79,74,0.348,0.4837,0.448,1.0,0.503,0.4262,-0.0768,1.5e-05,6,1683.99,23,10.0,2.1,5.0,,,0.66,0,Passing
231d831a778dc5cb0bd16b330a547cba,1513,915,299,0.6048,0.2463,0.2771,1.0,0.2268,0.6207,0.3938,0.000266,8,1760.54,48,30.0,8.9,68.0,,,0.48,1,At-Risk
235fba44e32ba4dd3a3f72db1a8a6846,35,3,16,0.0857,0.8421,0.7966,1.0,0.7966,,,-0.57961,1,0.33,10,,,,,,0.0,1,At-Risk
238f646b998ed51f3d0c612d5a373414,358,188,85,0.5251,0.3114,0.5714,1.0,0.4692,0.6316,0.1624,0.000318,4,1112.93,40,30.0,2.1333333333333333,9.0,,,0.22,1,At-Risk
246e28f16369b577bd206cfa3b36295c,469,275,97,0.5864,0.2608,0.5758,1.0,0.5867,0.8333,0.2467,0.000176,6,1680.03,50,,,,,,0.0,1,At-Risk
24a7ffe3bda20532c5f116825ff5dfcf,194,40,77,0.2062,0.6581,0.7018,1.0,0.6825,0.6143,-0.0682,-3.3e-05,9,1604.0,50,30.0,1.3666666666666667,6.0,,,0.5761,0,Passing
24b7e056016caf9dd296647bf0d59905,496,178,159,0.3589,0.4718,0.4262,1.0,0.3712,0.5868,0.2155,0.000193,7,1681.86,50,30.0,4.0,17.0,,,0.38,1,At-Risk
24bdf19471ff9ff91a2aed47a747ca4e,787,225,281,0.2859,0.5553,0.3447,1.0,0.4618,0.3676,-0.0942,-5.7e-05,14,1680.34,50,30.0,6.633333333333334,33.0,,,0.8275,0,Good
266c430a5f40c90947ba9db582a37f54,389,113,138,0.2905,0.5498,0.4355,1.0,0.5257,0.5013,-0.0244,2.9e-05,6,1752.19,50,30.0,3.1666666666666665,11.0,,,0.6711,0,Passing
2677c94cc946bd788a3828099d6bcd49,733,209,262,0.2851,0.5563,0.372,1.0,0.4053,0.4,-0.0053,-1e-06,15,1585.12,50,30.0,6.1,55.0,,,0.74,0,Good
26ad18ebce74087e6885d52a53bd72ae,1040,414,313,0.3981,0.4305,0.3242,1.0,0.2664,0.6296,0.3632,0.000306,16,1614.48,50,30.0,9.266666666666667,53.0,,,0.4016,1,At-Risk
27059a11c58ade9b03bde05c2ca7c285,222,64,79,0.2883,0.5524,0.4517,1.0,0.6608,0.2867,-0.3741,-0.000234,7,1784.08,37,28.0,1.7142857142857142,10.0,,,0.435,1,At-Risk
279dc09a13b9dc662c574a804d650d95,698,124,287,0.1777,0.6983,0.5176,1.0,0.5629,0.5346,-0.0283,-6e-06,10,1672.68,50,30.0,4.8,18.0,,,0.8644,0,Excellent
27a5eaafdb88c45dd61732d6a6493421,32,4,14,0.125,0.7778,0.7857,1.0,0.7857,,,0.079139,2,2.18,10,,,,,,,0,
288d7e4b1fa80acd699c8287ec363e12,143,31,56,0.2168,0.6437,0.7612,1.0,0.5285,0.9524,0.4239,0.000295,5,1680.62,39,20.0,1.7,7.0,,,0.612,0,Passing
29a83a8a9641bb860a679d7e5ba52d26,1299,363,468,0.2794,0.5632,0.2827,1.0,0.2567,0.3827,0.1259,0.000118,15,1677.86,50,30.0,10.4,52.0,,,0.7234999999999999,0,Good
29b2cd4a11745fefecc14912d2f95dd8,151,39,56,0.2583,0.5895,0.5869,1.0,0.3871,0.8864,0.4993,0.000352,4,1394.82,30,20.0,2.15,10.0,,,0.88,0,Excellent
2b8248d6e484fd4c09f3e0102f1dfd14,276,64,106,0.2319,0.6235,0.542,1.0,0.5715,0.4939,-0.0776,-4.1e-05,5,1659.13,50,30.0,2.0,6.0,,,0.706,0,Good
2caad38a4e3a8f3f61537412ef7aa439,362,100,131,0.2762,0.5671,0.498,1.0,0.4805,0.5294,0.0489,8e-05,4,1683.66,40,20.0,3.8,10.0,,,0.5417000000000001,0,Passing
2d0122e6c17cdb89f8eed4d75b5f5eef,717,113,302,0.1576,0.7277,0.4075,1.0,0.52,0.447,-0.073,-2.1e-05,19,1704.93,49,29.0,5.586206896551724,24.0,,,0.82,0,Good
2d66aed7a5328a988f77cbaec59fc047,738,262,238,0.355,0.476,0.3251,1.0,0.2682,0.3781,0.1099,0.000101,10,1681.7,46,26.0,5.923076923076923,18.0,,,0.8,0,Good
2df41f38afef75d8c599483001daf2e1,2681,449,1116,0.1675,0.7131,0.4119,1.0,0.4859,0.4022,-0.0837,-4.5e-05,21,1713.09,50,30.0,21.1,86.0,,,0.86,0,Excellent
2e09811007f834b96935dc13e91fabbc,777,221,278,0.2844,0.5571,0.4144,1.0,0.3888,0.5014,0.1126,8.6e-05,12,1705.46,49,30.0,7.2,35.0,,,0.4067,1,At-Risk
2e0a791950a53842e60d83295368cdff,284,64,110,0.2254,0.6322,0.6365,1.0,0.6759,0.6813,0.0054,-1.7e-05,5,1120.29,39,29.0,2.689655172413793,7.0,,,0.88,0,Excellent
2e667fca5e24ac13dcee94ddc4aa751a,34,4,15,0.1176,0.7895,0.7333,1.0,,,,2.929913,1,0.31,10,,,,,,0.0,1,At-Risk
2e945b99f24f789d68d85ee332131c93,501,159,171,0.3174,0.5182,0.4096,1.0,0.3337,0.5482,0.2145,0.000194,9,1656.56,50,30.0,4.2,10.0,,,0.5932999999999999,0,Passing
2f093e72fa038b855c80131ec3fba75c,1016,346,335,0.3406,0.4919,0.364,1.0,0.4288,0.377,-0.0517,-2.7e-05,29,1698.6,50,30.0,6.9,26.0,,,0.88,0,Excellent
2f0f2f6da6992b9ca06b907a9e803296,319,139,90,0.4357,0.393,0.6242,1.0,0.5032,0.7917,0.2884,0.000251,5,1606.11,48,28.0,2.2857142857142856,19.0,,,0.54,0,Passing
2f27e0f4118efff145aeecd8367fbb37,846,456,195,0.539,0.2995,0.5175,1.0,0.4581,0.6181,0.1599,0.000246,9,1647.35,50,30.0,4.066666666666666,18.0,,,0.5433,0,Passing
2f5c6c71d7605196314fc5e5873e4dc5,538,156,191,0.29,0.5504,0.3629,1.0,0.3195,0.4314,0.1119,5.6e-05,18,1647.96,50,30.0,3.966666666666667,17.0,,,0.84,0,Good
306b0c0a95972617146049ce1a9a1613,157,53,52,0.3376,0.4952,0.765,1.0,0.6819,0.8421,0.1602,0.000104,5,1603.82,37,20.0,1.6,5.0,,,0.7103,0,Good
30f607dcab85f4577f6935084e733fd2,86,38,24,0.4419,0.3871,0.5749,1.0,0.5749,,,0.009002,2,69.84,10,,,,,,,0,
3131a4cd22542b79134fe80f69f5b6ca,227,59,84,0.2599,0.5874,0.6664,1.0,0.5404,0.9091,0.3687,0.000306,5,1664.21,50,30.0,2.066666666666667,8.0,,,0.6412,0,Passing
319e33a217f7368ff7ceef7731ccf024,529,179,175,0.3384,0.4944,0.426,1.0,0.4325,0.5366,0.1041,8.4e-05,11,1682.2,50,30.0,4.033333333333333,12.0,,,0.8522,0,Excellent
33192f6b62911c61d4073ef0f9923420,343,105,119,0.3061,0.5312,0.5585,1.0,0.5638,0.5401,-0.0237,-3.5e-05,7,1684.22,48,28.0,2.5,13.0,,,0.63,0,Passing
33edf41c0becd0d57c35c4e27276617b,589,301,144,0.511,0.3236,0.2988,1.0,0.2965,0.2551,-0.0414,-4.2e-05,5,1679.16,29,22.0,5.136363636363637,14.0,,,0.7272,0,Good
34b99cc2f738d8a132faea2e0cc4c13b,112,2,55,0.0179,0.9649,0.9627,1.0,1.0,0.9091,-0.0909,-4.1e-05,6,1675.84,50,30.0,1.0333333333333334,2.0,,,0.56,0,Passing
356fbc3c3158bc7a5932461b635064a2,687,133,277,0.1936,0.6756,0.4796,1.0,0.5562,0.3921,-0.1641,-0.000154,14,1694.39,44,30.0,6.533333333333333,29.0,,,0.5728,0,Passing
3574cbb1010b32b07dd7f645153ee35c,194,58,68,0.299,0.5397,0.3071,1.0,0.3071,,,0.464301,1,1.24,10,,,,,,0.0,1,At-Risk
36fb4d8a9e7e1c0953cd80bbac2e50f0,554,206,174,0.3718,0.4579,0.1442,1.0,0.09,0.2098,0.1197,0.000121,19,1712.94,33,18.0,5.611111111111111,14.0,,,0.34,1,At-Risk
376dc62eeb4b777df0f1e58a91a7818f,585,155,215,0.265,0.5811,0.4355,1.0,0.5365,0.3819,-0.1546,-0.000117,10,1705.99,45,30.0,4.733333333333333,14.0,,,0.84,0,Good
37a2dff33c3da75c1ea08be45a9f8da6,364,116,124,0.3187,0.5167,0.3686,1.0,0.3966,,,-0.000199,8,670.23,30,,,,,,,0,
37b1fe960daba91fffadbdb5a3a9db15,729,151,289,0.2071,0.6568,0.3329,1.0,0.4031,0.2845,-0.1186,-9.7e-05,8,1685.64,41,24.0,8.125,37.0,,,0.6017,0,Passing
